498430783699554305.txt:
['24165761', '498430783699554305', '0.0']->['33164207', '498430783699554305', '0.3']  (Multiple inconsistent parents)
['35160637', '498430783699554305', '174.73']->['221912447', '498430783699554305', '184.85']  (Multiple inconsistent parents)
['35160637', '498430783699554305', '174.73']->['221912447', '498430783699554305', '184.85']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['232769473', '498430783699554305', '187.45']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['232769473', '498430783699554305', '187.45']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['340631796', '498430783699554305', '187.58']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['340631796', '498430783699554305', '187.58']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['276746114', '498430783699554305', '189.62']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['276746114', '498430783699554305', '189.62']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['177983076', '498430783699554305', '189.83']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['177983076', '498430783699554305', '189.83']  (Tweet is both parent and child)
['276746114', '498430783699554305', '189.62']->['133548224', '498430783699554305', '189.87']  (Multiple inconsistent parents)
['276746114', '498430783699554305', '189.62']->['133548224', '498430783699554305', '189.87']  (Tweet is both parent and child)
['128264038', '498430783699554305', '173.42']->['15095753', '498430783699554305', '190.8']  (Multiple inconsistent parents)
['128264038', '498430783699554305', '173.42']->['15095753', '498430783699554305', '190.8']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['41738796', '498430783699554305', '191.4']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['41738796', '498430783699554305', '191.4']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['2495668166', '498430783699554305', '191.63']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['2495668166', '498430783699554305', '191.63']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['49800332', '498430783699554305', '192.5']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['49800332', '498430783699554305', '192.5']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['163749775', '498430783699554305', '192.86']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['163749775', '498430783699554305', '192.86']  (Tweet is both parent and child)
['46549541', '498430783699554305', '58.1']->['4517', '498430783699554305', '193.22']  (Multiple inconsistent parents)
['46549541', '498430783699554305', '58.1']->['4517', '498430783699554305', '193.22']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['33197758', '498430783699554305', '197.11']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['33197758', '498430783699554305', '197.11']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['211003591', '498430783699554305', '201.0']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['211003591', '498430783699554305', '201.0']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['1532175576', '498430783699554305', '201.38']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['1532175576', '498430783699554305', '201.38']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['1007121066', '498430783699554305', '201.77']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['1007121066', '498430783699554305', '201.77']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['22668681', '498430783699554305', '205.48']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['22668681', '498430783699554305', '205.48']  (Tweet is both parent and child)
['22668681', '498430783699554305', '205.48']->['636624749', '498430783699554305', '209.58']  (Multiple inconsistent parents)
['22668681', '498430783699554305', '205.48']->['636624749', '498430783699554305', '209.58']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['458545620', '498430783699554305', '212.96']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['458545620', '498430783699554305', '212.96']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['2220394849', '498430783699554305', '216.33']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['2220394849', '498430783699554305', '216.33']  (Tweet is both parent and child)
['30515073', '498430783699554305', '69.78']->['252868465', '498430783699554305', '224.47']  (Multiple inconsistent parents)
['30515073', '498430783699554305', '69.78']->['252868465', '498430783699554305', '224.47']  (Tweet is both parent and child)
['343571392', '498430783699554305', '85.53']->['255545898', '498430783699554305', '224.92']  (Multiple inconsistent parents)
['343571392', '498430783699554305', '85.53']->['255545898', '498430783699554305', '224.92']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['29051452', '498430783699554305', '225.37']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['29051452', '498430783699554305', '225.37']  (Tweet is both parent and child)
['1532175576', '498430783699554305', '201.38']->['65278327', '498430783699554305', '225.55']  (Multiple inconsistent parents)
['1532175576', '498430783699554305', '201.38']->['65278327', '498430783699554305', '225.55']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['53649349', '498430783699554305', '226.53']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['53649349', '498430783699554305', '226.53']  (Tweet is both parent and child)
['192901546', '498430783699554305', '4.25']->['24589909', '498430783699554305', '227.28']  (Multiple inconsistent parents)
['192901546', '498430783699554305', '4.25']->['24589909', '498430783699554305', '227.28']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['235735248', '498430783699554305', '228.88']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['235735248', '498430783699554305', '228.88']  (Tweet is both parent and child)
['252868465', '498430783699554305', '224.47']->['17629872', '498430783699554305', '230.47']  (Multiple inconsistent parents)
['252868465', '498430783699554305', '224.47']->['17629872', '498430783699554305', '230.47']  (Tweet is both parent and child)
['61934810', '498440508256292864', '38.65']->['2285764364', '498433698149056513', '11.58']  (Child before parent)
['61934810', '498440508256292864', '38.65']->['2285764364', '498433698149056513', '11.58']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['248338255', '498430783699554305', '231.78']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['248338255', '498430783699554305', '231.78']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['18884389', '498430783699554305', '232.08']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['18884389', '498430783699554305', '232.08']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['175140498', '498430783699554305', '234.35']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['175140498', '498430783699554305', '234.35']  (Tweet is both parent and child)
['22668681', '498430783699554305', '205.48']->['113669782', '498430783699554305', '234.92']  (Multiple inconsistent parents)
['22668681', '498430783699554305', '205.48']->['113669782', '498430783699554305', '234.92']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['230349218', '498430783699554305', '237.05']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['230349218', '498430783699554305', '237.05']  (Tweet is both parent and child)
['65278327', '498430783699554305', '225.55']->['122188293', '498430783699554305', '237.05']  (Multiple inconsistent parents)
['65278327', '498430783699554305', '225.55']->['122188293', '498430783699554305', '237.05']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['315524613', '498430783699554305', '237.12']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['315524613', '498430783699554305', '237.12']  (Tweet is both parent and child)
['30390202', '498430783699554305', '11.47']->['177109847', '498430783699554305', '237.22']  (Multiple inconsistent parents)
['30390202', '498430783699554305', '11.47']->['177109847', '498430783699554305', '237.22']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['24076853', '498430783699554305', '237.37']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['24076853', '498430783699554305', '237.37']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['74755644', '498430783699554305', '239.3']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['74755644', '498430783699554305', '239.3']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['237018949', '498430783699554305', '240.18']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['237018949', '498430783699554305', '240.18']  (Tweet is both parent and child)
['222648594', '498430783699554305', '178.13']->['53785636', '498430783699554305', '240.5']  (Multiple inconsistent parents)
['222648594', '498430783699554305', '178.13']->['53785636', '498430783699554305', '240.5']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['1634242862', '498430783699554305', '242.7']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['1634242862', '498430783699554305', '242.7']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['325109269', '498430783699554305', '243.5']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['325109269', '498430783699554305', '243.5']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['190882460', '498430783699554305', '243.5']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['190882460', '498430783699554305', '243.5']  (Tweet is both parent and child)
['252868465', '498430783699554305', '224.47']->['1499736960', '498430783699554305', '243.85']  (Multiple inconsistent parents)
['252868465', '498430783699554305', '224.47']->['1499736960', '498430783699554305', '243.85']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['312410430', '498430783699554305', '243.88']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['312410430', '498430783699554305', '243.88']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['34766371', '498430783699554305', '244.3']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['34766371', '498430783699554305', '244.3']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['2349414762', '498430783699554305', '246.12']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['2349414762', '498430783699554305', '246.12']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['243993435', '498430783699554305', '246.8']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['243993435', '498430783699554305', '246.8']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['26336166', '498430783699554305', '248.43']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['26336166', '498430783699554305', '248.43']  (Tweet is both parent and child)
['26336166', '498430783699554305', '248.43']->['158806167', '498430783699554305', '250.58']  (Multiple inconsistent parents)
['26336166', '498430783699554305', '248.43']->['158806167', '498430783699554305', '250.58']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['230912130', '498430783699554305', '251.7']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['230912130', '498430783699554305', '251.7']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['86180414', '498430783699554305', '254.5']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['86180414', '498430783699554305', '254.5']  (Tweet is both parent and child)
['86180414', '498430783699554305', '254.5']->['907274616', '498430783699554305', '262.8']  (Multiple inconsistent parents)
['86180414', '498430783699554305', '254.5']->['907274616', '498430783699554305', '262.8']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['231136927', '498430783699554305', '264.0']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['231136927', '498430783699554305', '264.0']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['990627116', '498430783699554305', '270.5']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['990627116', '498430783699554305', '270.5']  (Tweet is both parent and child)
['990627116', '498430783699554305', '270.5']->['603890081', '498430783699554305', '271.48']  (Multiple inconsistent parents)
['990627116', '498430783699554305', '270.5']->['603890081', '498430783699554305', '271.48']  (Tweet is both parent and child)
['990627116', '498430783699554305', '270.5']->['2158922936', '498430783699554305', '271.97']  (Multiple inconsistent parents)
['990627116', '498430783699554305', '270.5']->['2158922936', '498430783699554305', '271.97']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['290197802', '498430783699554305', '277.43']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['290197802', '498430783699554305', '277.43']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['46094081', '498430783699554305', '279.03']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['46094081', '498430783699554305', '279.03']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['133126060', '498430783699554305', '281.83']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['133126060', '498430783699554305', '281.83']  (Tweet is both parent and child)
['990627116', '498430783699554305', '270.5']->['1921217798', '498430783699554305', '282.98']  (Multiple inconsistent parents)
['990627116', '498430783699554305', '270.5']->['1921217798', '498430783699554305', '282.98']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['278166174', '498430783699554305', '283.3']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['278166174', '498430783699554305', '283.3']  (Tweet is both parent and child)
['252868465', '498430783699554305', '224.47']->['106524241', '498430783699554305', '283.72']  (Multiple inconsistent parents)
['252868465', '498430783699554305', '224.47']->['106524241', '498430783699554305', '283.72']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['424777622', '498430783699554305', '287.0']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['424777622', '498430783699554305', '287.0']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['19395472', '498430783699554305', '292.78']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['19395472', '498430783699554305', '292.78']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['245688940', '498430783699554305', '292.97']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['245688940', '498430783699554305', '292.97']  (Tweet is both parent and child)
['622656101', '498430783699554305', '9.92']->['420351613', '498430783699554305', '294.87']  (Multiple inconsistent parents)
['622656101', '498430783699554305', '9.92']->['420351613', '498430783699554305', '294.87']  (Tweet is both parent and child)
['420351613', '498430783699554305', '294.87']->['1265982823', '498430783699554305', '297.0']  (Multiple inconsistent parents)
['420351613', '498430783699554305', '294.87']->['1265982823', '498430783699554305', '297.0']  (Tweet is both parent and child)
['990627116', '498430783699554305', '270.5']->['1876450290', '498430783699554305', '299.58']  (Multiple inconsistent parents)
['990627116', '498430783699554305', '270.5']->['1876450290', '498430783699554305', '299.58']  (Tweet is both parent and child)
['990627116', '498430783699554305', '270.5']->['551821933', '498430783699554305', '302.73']  (Multiple inconsistent parents)
['990627116', '498430783699554305', '270.5']->['551821933', '498430783699554305', '302.73']  (Tweet is both parent and child)
['551821933', '498430783699554305', '302.73']->['350483', '498430783699554305', '302.93']  (Multiple inconsistent parents)
['551821933', '498430783699554305', '302.73']->['350483', '498430783699554305', '302.93']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['363432868', '498430783699554305', '308.5']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['363432868', '498430783699554305', '308.5']  (Tweet is both parent and child)
['30390202', '498430783699554305', '11.47']->['927641', '498430783699554305', '310.47']  (Multiple inconsistent parents)
['30390202', '498430783699554305', '11.47']->['927641', '498430783699554305', '310.47']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['4055351', '498430783699554305', '315.37']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['4055351', '498430783699554305', '315.37']  (Tweet is both parent and child)
['163749775', '498430783699554305', '192.86']->['275837272', '498430783699554305', '328.88']  (Multiple inconsistent parents)
['163749775', '498430783699554305', '192.86']->['275837272', '498430783699554305', '328.88']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['47798481', '498430783699554305', '331.77']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['47798481', '498430783699554305', '331.77']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['162119383', '498430783699554305', '333.32']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['162119383', '498430783699554305', '333.32']  (Tweet is both parent and child)
['30515073', '498430783699554305', '69.78']->['105965606', '498430783699554305', '333.73']  (Multiple inconsistent parents)
['30515073', '498430783699554305', '69.78']->['105965606', '498430783699554305', '333.73']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['316628845', '498430783699554305', '339.9']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['316628845', '498430783699554305', '339.9']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['250836872', '498430783699554305', '346.8']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['250836872', '498430783699554305', '346.8']  (Tweet is both parent and child)
['252868465', '498430783699554305', '224.47']->['223684911', '498430783699554305', '358.55']  (Multiple inconsistent parents)
['252868465', '498430783699554305', '224.47']->['223684911', '498430783699554305', '358.55']  (Tweet is both parent and child)
['571796080', '498504798971650049', '294.12']->['798151213', '498432131669192704', '5.37']  (Child before parent)
['571796080', '498504798971650049', '294.12']->['798151213', '498432131669192704', '5.37']  (Multiple inconsistent parents)
['250836872', '498430783699554305', '346.8']->['2575917464', '498430783699554305', '371.67']  (Multiple inconsistent parents)
['250836872', '498430783699554305', '346.8']->['2575917464', '498430783699554305', '371.67']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['976918878', '498430783699554305', '375.7']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['976918878', '498430783699554305', '375.7']  (Tweet is both parent and child)
['402355096', '498430783699554305', '83.58']->['269992592', '498430783699554305', '387.33']  (Multiple inconsistent parents)
['402355096', '498430783699554305', '83.58']->['269992592', '498430783699554305', '387.33']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['265523983', '498430783699554305', '388.03']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['265523983', '498430783699554305', '388.03']  (Tweet is both parent and child)
['223348602', '498430783699554305', '19.22']->['222967385', '498430783699554305', '390.18']  (Multiple inconsistent parents)
['223348602', '498430783699554305', '19.22']->['222967385', '498430783699554305', '390.18']  (Tweet is both parent and child)
['222967385', '498430783699554305', '390.18']->['1963103299', '498430783699554305', '391.15']  (Multiple inconsistent parents)
['222967385', '498430783699554305', '390.18']->['1963103299', '498430783699554305', '391.15']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['704392381', '498430783699554305', '394.88']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['704392381', '498430783699554305', '394.88']  (Tweet is both parent and child)
['222967385', '498430783699554305', '390.18']->['2414096479', '498430783699554305', '399.67']  (Multiple inconsistent parents)
['222967385', '498430783699554305', '390.18']->['2414096479', '498430783699554305', '399.67']  (Tweet is both parent and child)
['476172271', '498430783699554305', '121.82']->['527496759', '498430783699554305', '400.18']  (Multiple inconsistent parents)
['476172271', '498430783699554305', '121.82']->['527496759', '498430783699554305', '400.18']  (Tweet is both parent and child)
['222967385', '498430783699554305', '390.18']->['2659688822', '498430783699554305', '406.78']  (Multiple inconsistent parents)
['222967385', '498430783699554305', '390.18']->['2659688822', '498430783699554305', '406.78']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['64001145', '498430783699554305', '413.18']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['64001145', '498430783699554305', '413.18']  (Tweet is both parent and child)
['222967385', '498430783699554305', '390.18']->['2691455292', '498430783699554305', '413.92']  (Multiple inconsistent parents)
['222967385', '498430783699554305', '390.18']->['2691455292', '498430783699554305', '413.92']  (Tweet is both parent and child)
['33197758', '498430783699554305', '197.11']->['22822556', '498430783699554305', '415.58']  (Multiple inconsistent parents)
['33197758', '498430783699554305', '197.11']->['22822556', '498430783699554305', '415.58']  (Tweet is both parent and child)
['222967385', '498430783699554305', '390.18']->['2459767315', '498430783699554305', '416.77']  (Multiple inconsistent parents)
['222967385', '498430783699554305', '390.18']->['2459767315', '498430783699554305', '416.77']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['204602357', '498430783699554305', '419.63']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['204602357', '498430783699554305', '419.63']  (Tweet is both parent and child)
['374996407', '498430783699554305', '10.27']->['353351870', '498430783699554305', '466.07']  (Multiple inconsistent parents)
['374996407', '498430783699554305', '10.27']->['353351870', '498430783699554305', '466.07']  (Tweet is both parent and child)
['353351870', '498430783699554305', '466.07']->['524011472', '498430783699554305', '469.9']  (Multiple inconsistent parents)
['353351870', '498430783699554305', '466.07']->['524011472', '498430783699554305', '469.9']  (Tweet is both parent and child)
['353351870', '498430783699554305', '466.07']->['268929222', '498430783699554305', '478.1']  (Multiple inconsistent parents)
['353351870', '498430783699554305', '466.07']->['268929222', '498430783699554305', '478.1']  (Tweet is both parent and child)
['255545898', '498430783699554305', '224.92']->['1485326900', '498430783699554305', '478.72']  (Multiple inconsistent parents)
['255545898', '498430783699554305', '224.92']->['1485326900', '498430783699554305', '478.72']  (Tweet is both parent and child)
['316628845', '498430783699554305', '339.9']->['271239847', '498430783699554305', '481.88']  (Multiple inconsistent parents)
['316628845', '498430783699554305', '339.9']->['271239847', '498430783699554305', '481.88']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['18316637', '498430783699554305', '522.1']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['18316637', '498430783699554305', '522.1']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['232997136', '498430783699554305', '535.6']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['232997136', '498430783699554305', '535.6']  (Tweet is both parent and child)
['834370586', '498430783699554305', '81.03']->['1282197158', '498430783699554305', '542.08']  (Multiple inconsistent parents)
['834370586', '498430783699554305', '81.03']->['1282197158', '498430783699554305', '542.08']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['194008859', '498430783699554305', '552.63']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['194008859', '498430783699554305', '552.63']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['2722539780', '498430783699554305', '638.02']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['2722539780', '498430783699554305', '638.02']  (Tweet is both parent and child)
['22668681', '498430783699554305', '205.48']->['125814674', '498430783699554305', '639.82']  (Multiple inconsistent parents)
['22668681', '498430783699554305', '205.48']->['125814674', '498430783699554305', '639.82']  (Tweet is both parent and child)
['125814674', '498430783699554305', '639.82']->['183851862', '498430783699554305', '642.5']  (Multiple inconsistent parents)
['125814674', '498430783699554305', '639.82']->['183851862', '498430783699554305', '642.5']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['902207287', '498430783699554305', '652.5']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['902207287', '498430783699554305', '652.5']  (Tweet is both parent and child)
['902207287', '498430783699554305', '652.5']->['500931056', '498430783699554305', '653.33']  (Multiple inconsistent parents)
['902207287', '498430783699554305', '652.5']->['500931056', '498430783699554305', '653.33']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['246001281', '498430783699554305', '682.53']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['246001281', '498430783699554305', '682.53']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['239510568', '498430783699554305', '685.87']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['239510568', '498430783699554305', '685.87']  (Tweet is both parent and child)
['35160637', '498430783699554305', '174.73']->['65725052', '498430783699554305', '744.25']  (Multiple inconsistent parents)
['35160637', '498430783699554305', '174.73']->['65725052', '498430783699554305', '744.25']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['2305083264', '498430783699554305', '752.43']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['2305083264', '498430783699554305', '752.43']  (Tweet is both parent and child)
['65725052', '498430783699554305', '744.25']->['26200765', '498430783699554305', '783.02']  (Multiple inconsistent parents)
['65725052', '498430783699554305', '744.25']->['26200765', '498430783699554305', '783.02']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['61959613', '498430783699554305', '1126.02']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['61959613', '498430783699554305', '1126.02']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['18690570', '498430783699554305', '1140.47']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['18690570', '498430783699554305', '1140.47']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['2523920156', '498430783699554305', '1179.03']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['2523920156', '498430783699554305', '1179.03']  (Tweet is both parent and child)
['2523920156', '498430783699554305', '1179.03']->['233020495', '498430783699554305', '1180.32']  (Multiple inconsistent parents)
['2523920156', '498430783699554305', '1179.03']->['233020495', '498430783699554305', '1180.32']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['410067673', '498430783699554305', '1789.22']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['410067673', '498430783699554305', '1789.22']  (Tweet is both parent and child)
['410067673', '498430783699554305', '1789.22']->['245660571', '498430783699554305', '1832.8']  (Multiple inconsistent parents)
['410067673', '498430783699554305', '1789.22']->['245660571', '498430783699554305', '1832.8']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['2263047512', '498430783699554305', '1908.22']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['2263047512', '498430783699554305', '1908.22']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['314366607', '498430783699554305', '1964.1']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['314366607', '498430783699554305', '1964.1']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['77132668', '498430783699554305', '1997.62']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['77132668', '498430783699554305', '1997.62']  (Tweet is both parent and child)
['834370586', '498430783699554305', '81.03']->['1016588101', '498430783699554305', '3014.38']  (Multiple inconsistent parents)
['834370586', '498430783699554305', '81.03']->['1016588101', '498430783699554305', '3014.38']  (Tweet is both parent and child)
['402355096', '498430783699554305', '83.58']->['85460092', '498430783699554305', '3018.33']  (Multiple inconsistent parents)
['402355096', '498430783699554305', '83.58']->['85460092', '498430783699554305', '3018.33']  (Tweet is both parent and child)
['24165761', '498430783699554305', '0.0']->['18267698', '498430783699554305', '3024.2']  (Multiple inconsistent parents)
['24165761', '498430783699554305', '0.0']->['18267698', '498430783699554305', '3024.2']  (Tweet is both parent and child)
['990627116', '498430783699554305', '270.5']->['1452428454', '498430783699554305', '3042.63']  (Multiple inconsistent parents)
['990627116', '498430783699554305', '270.5']->['1452428454', '498430783699554305', '3042.63']  (Tweet is both parent and child)
['834370586', '498430783699554305', '81.03']->['624827127', '498430783699554305', '3213.33']  (Multiple inconsistent parents)
['834370586', '498430783699554305', '81.03']->['624827127', '498430783699554305', '3213.33']  (Tweet is both parent and child)

500378223977721856.txt:
['16116288', '500378223977721856', '0.0']->['470299111', '500378223977721856', '0.17']  (Multiple inconsistent parents)
['16116288', '500378223977721856', '0.0']->['470299111', '500378223977721856', '0.17']  (Tweet is both parent and child)
['16116288', '500378223977721856', '0.0']->['16975896', '500378223977721856', '0.37']  (Multiple inconsistent parents)
['16116288', '500378223977721856', '0.0']->['16975896', '500378223977721856', '0.37']  (Tweet is both parent and child)
['16116288', '500378223977721856', '0.0']->['34208515', '500378223977721856', '0.42']  (Multiple inconsistent parents)
['16116288', '500378223977721856', '0.0']->['34208515', '500378223977721856', '0.42']  (Tweet is both parent and child)
